num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_key_value_query_transform,attention_key_query_prob,attention_prob_times_values,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
48,23088,4,2048,51200,256,1,1,1,137.158,71.179,46.043,147.187,134.233,0.0011,149.192,0.4079,89.445,0.2603,268.466,0.6703,158.671
48,23136,4,2048,51200,256,1,1,1,151.339,116.717,112.843,151.911,151.53,0.0011,149.541,0.3749,97.715,0.2315,303.06,0.6085,175.496
48,23184,4,2048,51200,256,1,1,1,142.554,73.739,48.176,134.249,134.479,0.0011,148.932,0.4082,90.105,0.2619,268.957,0.6723,159.505
48,23232,4,2048,51200,256,1,1,1,151.262,154.003,144.449,151.8,149.562,0.0011,148.449,0.3754,98.383,0.2365,299.123,0.614,175.367
48,23280,4,2048,51200,256,1,1,1,138.022,73.353,48.261,125.042,140.59,0.0011,150.131,0.4209,88.092,0.2526,281.18,0.6757,160.006
48,23328,4,2048,51200,256,1,1,1,150.735,118.214,113.234,151.263,154.629,0.0011,156.288,0.3751,99.242,0.2306,309.258,0.6079,178.576
48,23376,4,2048,51200,256,1,1,1,118.21,70.817,60.14,111.421,133.809,0.0011,149.333,0.463,80.736,0.2676,267.618,0.7328,148.758
48,23424,4,2048,51200,256,1,1,1,151.757,149.201,142.522,151.892,152.891,0.0011,149.526,0.3791,99.002,0.2352,305.781,0.6164,177.558
48,23472,4,2048,51200,256,1,1,1,136.761,53.425,60.608,133.087,134.414,0.0011,149.269,0.4255,88.563,0.2686,268.828,0.6962,157.842
48,23520,4,2048,51200,256,1,1,1,152.726,114.198,117.778,139.37,153.615,0.0011,155.211,0.3838,98.574,0.236,307.23,0.6219,177.415
48,23568,4,2048,51200,256,1,1,1,134.142,56.326,48.314,133.602,134.26,0.0011,149.258,0.4345,87.418,0.2711,268.52,0.7078,156.529
48,23616,4,2048,51200,256,1,1,1,150.389,150.312,138.053,154.185,149.771,0.0011,149.003,0.3855,98.922,0.244,299.542,0.6317,176.095
48,23664,4,2048,51200,256,1,1,1,132.702,76.354,61.134,131.749,132.745,0.0011,167.561,0.4189,91.397,0.2765,265.489,0.6975,160.118
48,23712,4,2048,51200,256,1,1,1,157.173,120.858,115.65,152.36,151.501,0.0011,150.288,0.3821,100.598,0.2432,303.003,0.6275,178.713
48,23760,4,2048,51200,256,1,1,1,133.524,54.793,50.554,133.538,134.813,0.0011,150.301,0.44,87.707,0.2744,269.626,0.7166,157.113
48,23808,4,2048,51200,256,1,1,1,151.691,169.096,146.164,152.711,154.087,0.0011,150.707,0.3872,100.067,0.2411,308.173,0.6304,179.312
48,23856,4,2048,51200,256,1,1,1,133.94,54.525,49.211,130.394,134.557,0.0011,164.353,0.4331,89.821,0.2772,269.114,0.7124,159.309
48,23904,4,2048,51200,256,1,1,1,152.236,119.809,109.822,137.205,152.076,0.0011,149.03,0.4013,97.32,0.2462,304.153,0.6497,175.394
48,23952,4,2048,51200,256,1,1,1,136.201,73.879,48.167,149.403,133.536,0.0011,150.842,0.4307,91.024,0.2816,267.071,0.7144,160.131
48,24000,4,2048,51200,256,1,1,1,151.752,142.343,148.906,152.579,152.794,0.0011,150.26,0.3935,100.032,0.2471,305.588,0.6427,178.72
48,24048,4,2048,51200,256,1,1,1,135.078,74.592,62.052,133.368,137.507,0.0011,149.317,0.4404,89.722,0.2756,275.014,0.7182,160.564
48,24096,4,2048,51200,256,1,1,1,152.564,121.319,119.878,150.944,151.258,0.0011,148.347,0.3997,99.234,0.2516,302.516,0.6535,177.167
48,24144,4,2048,51200,256,1,1,1,138.994,71.573,62.422,133.926,136.549,0.0011,150.002,0.4368,91.176,0.2798,273.097,0.7187,161.721
48,24192,4,2048,51200,256,1,1,1,151.082,147.931,141.131,150.473,152.326,0.0011,151.79,0.3991,100.181,0.2518,304.651,0.653,178.695
48,24240,4,2048,51200,256,1,1,1,112.758,71.493,62.393,146.946,134.792,0.0011,150.583,0.4811,83.423,0.2857,269.585,0.7689,152.355
48,24288,4,2048,51200,256,1,1,1,152.51,131.335,107.803,167.455,152.209,0.0011,151.7,0.3959,101.766,0.254,304.419,0.652,180.372
48,24336,4,2048,51200,256,1,1,1,134.487,56.922,49.919,134.143,132.074,0.0011,149.339,0.4562,88.661,0.2939,264.148,0.7522,156.966
48,24384,4,2048,51200,256,1,1,1,137.602,151.954,140.288,163.931,155.597,0.0011,149.571,0.4198,96.723,0.2504,311.193,0.6724,176.296
48,24432,4,2048,51200,256,1,1,1,134.349,74.449,63.079,133.377,,,,,,,,,
