num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
16,3968,4,2048,51200,256,1,1,1,217.387,135.518,154.545,227.741,222.858,0.0003,184.324,0.0246,52.781,0.0046,445.715,0.0298,113.003
16,3984,4,2048,51200,256,1,1,1,185.804,66.537,89.584,211.575,175.793,0.0003,170.787,0.0285,45.883,0.0059,351.587,0.0349,96.944
16,4000,4,2048,51200,256,1,1,1,224.546,114.247,117.958,236.849,218.895,0.0003,167.706,0.0269,48.906,0.0048,437.79,0.0322,105.876
16,4016,4,2048,51200,256,1,1,1,175.17,70.039,90.8,201.714,193.433,0.0003,171.266,0.0289,45.877,0.0055,386.867,0.0349,98.545
16,4032,4,2048,51200,256,1,1,1,127.702,133.931,150.672,220.39,209.828,0.0003,172.485,0.029,46.096,0.0051,419.655,0.0346,100.22
16,4048,4,2048,51200,256,1,1,1,194.531,70.773,91.224,210.297,176.578,0.0003,151.892,0.0312,43.153,0.0061,353.157,0.0378,92.4
16,4064,4,2048,51200,256,1,1,1,236.389,116.257,119.879,240.388,219.932,0.0003,177.725,0.0261,52.016,0.0049,439.864,0.0315,111.714
16,4080,4,2048,51200,256,1,1,1,180.849,67.757,91.151,216.842,177.057,0.0003,177.903,0.0285,47.814,0.0062,354.113,0.0352,100.634
16,4096,4,2048,51200,256,1,1,1,222.782,149.144,167.527,226.483,224.54,0.0004,188.41,0.0249,55.21,0.0049,449.081,0.0307,116.496
16,4112,4,2048,51200,256,1,1,1,193.169,66.078,34.491,207.06,163.337,0.0005,175.778,0.0314,44.146,0.0068,326.674,0.0391,92.004
16,4128,4,2048,51200,256,1,1,1,224.294,113.617,87.423,215.212,223.138,0.0005,165.121,0.0288,48.384,0.005,446.275,0.0348,104.17
16,4144,4,2048,51200,256,1,1,1,196.541,70.949,34.737,200.569,159.71,0.0005,182.639,0.0307,45.727,0.007,319.42,0.0388,94.3
16,4160,4,2048,51200,256,1,1,1,207.907,143.078,100.851,214.916,214.069,0.0005,150.645,0.0309,45.686,0.0053,428.139,0.0372,98.855
16,4176,4,2048,51200,256,1,1,1,114.839,70.507,34.613,209.325,164.669,0.0005,152.77,0.0378,37.654,0.0069,329.338,0.0457,81.075
16,4192,4,2048,51200,256,1,1,1,222.43,115.553,93.024,239.242,142.067,0.0005,148.03,0.0316,45.388,0.0081,284.135,0.0407,91.824
16,4208,4,2048,51200,256,1,1,1,176.596,67.514,34.727,204.711,189.067,0.0005,196.009,0.0305,47.288,0.0061,378.134,0.0377,99.931
16,4224,4,2048,51200,256,1,1,1,216.111,136.978,124.547,232.152,239.376,0.0005,172.834,0.028,51.901,0.0049,478.752,0.0339,112.0
16,4240,4,2048,51200,256,1,1,1,177.645,67.725,34.855,212.123,164.141,0.0005,171.485,0.0333,43.944,0.0072,328.283,0.0415,92.098
16,4256,4,2048,51200,256,1,1,1,215.419,117.526,91.916,240.356,193.7,0.0005,187.967,0.0271,54.283,0.0061,387.401,0.0343,112.236
16,4272,4,2048,51200,256,1,1,1,179.903,70.988,34.763,218.267,170.778,0.0005,161.33,0.0347,42.715,0.007,341.555,0.0427,90.677
16,4288,4,2048,51200,256,1,1,1,217.475,139.032,114.032,241.837,205.708,0.0005,160.852,0.0301,49.659,0.0059,411.417,0.0369,105.664
16,4304,4,2048,51200,256,1,1,1,178.199,69.582,34.982,205.994,191.071,0.0005,175.622,0.0333,45.07,0.0064,382.141,0.0407,96.542
16,4320,4,2048,51200,256,1,1,1,230.212,121.918,94.757,226.024,211.529,0.0005,187.646,0.0274,55.282,0.0058,423.057,0.0342,115.866
16,4336,4,2048,51200,256,1,1,1,183.316,66.879,35.401,199.163,200.105,0.0005,175.022,0.0337,45.257,0.0062,400.21,0.0408,97.646
