m,n,k,throughput,b
8192,20032,2048,256.966,
8192,20096,2048,264.527,
8192,20160,2048,258.545,
8192,20224,2048,252.217,
8192,20288,2048,259.338,
8192,20352,2048,255.5,
8192,20416,2048,253.114,
8192,20480,2048,250.268,
8192,20544,2048,248.458,
8192,20608,2048,244.17,
8192,20672,2048,252.1,
8192,20736,2048,243.037,
8192,20800,2048,240.037,
8192,20864,2048,258.416,
8192,20928,2048,260.015,
8192,20992,2048,247.517,
8192,21056,2048,253.183,
8192,21120,2048,248.12,
8192,21184,2048,246.565,
8192,21248,2048,248.005,
8192,21312,2048,239.552,
8192,21376,2048,252.535,
8192,21440,2048,236.772,
8192,21504,2048,244.568,
8192,21568,2048,253.674,
8192,21632,2048,250.245,
8192,21696,2048,248.267,
8192,21760,2048,266.492,
8192,21824,2048,242.397,
8192,21888,2048,241.04,
8192,21952,2048,252.221,
8192,22016,2048,247.764,
8192,22080,2048,265.801,
8192,22144,2048,248.266,
8192,22208,2048,254.577,
8192,22272,2048,253.805,
8192,22336,2048,240.049,
8192,22400,2048,241.896,
8192,22464,2048,239.206,
8192,22528,2048,243.636,
8192,22592,2048,258.125,
8192,22656,2048,242.829,
8192,22720,2048,243.508,
8192,22784,2048,255.831,
8192,22848,2048,258.09,
8192,22912,2048,250.117,
8192,22976,2048,246.428,
8192,23040,2048,230.818,
8192,23104,2048,236.909,
8192,23168,2048,249.023,
8192,23232,2048,246.626,
8192,23296,2048,243.339,
8192,23360,2048,241.47,
8192,23424,2048,243.826,
8192,23488,2048,244.565,
8192,23552,2048,239.17,
8192,23616,2048,240.349,
8192,23680,2048,246.405,
8192,23744,2048,248.558,
8192,23808,2048,248.199,
8192,23872,2048,253.793,
8192,23936,2048,241.88,
8192,24000,2048,243.613,
8192,24064,2048,242.63,
8192,24128,2048,243.375,
8192,24192,2048,238.447,
8192,24256,2048,255.518,
8192,24320,2048,244.67,
8192,24384,2048,237.427,
8192,24448,2048,246.65,
8192,24512,2048,229.724,
8192,24576,2048,227.658,
8192,24640,2048,226.267,
8192,24704,2048,258.865,
8192,24768,2048,236.343,
8192,24832,2048,244.548,
8192,24896,2048,245.282,
8192,24960,2048,246.057,
8192,25024,2048,230.318,
8192,25088,2048,248.722,
8192,25152,2048,232.337,
8192,25216,2048,237.378,
8192,25280,2048,246.048,
8192,25344,2048,244.802,
8192,25408,2048,240.757,
8192,25472,2048,250.328,
8192,25536,2048,250.317,
8192,25600,2048,234.6,
8192,25664,2048,236.879,
8192,25728,2048,240.701,
8192,25792,2048,233.161,
8192,25856,2048,247.643,
8192,25920,2048,243.23,
8192,25984,2048,239.185,
8192,26048,2048,235.444,
8192,26112,2048,229.933,
8192,26176,2048,233.82,
8192,26240,2048,232.431,
8192,26304,2048,235.329,
8192,26368,2048,243.067,
8192,26432,2048,233.015,
8192,26496,2048,221.923,
8192,26560,2048,236.189,
8192,26624,2048,242.353,
8192,26688,2048,229.296,
8192,26752,2048,248.97,
8192,26816,2048,242.899,
8192,26880,2048,225.054,
8192,26944,2048,229.558,
8192,27008,2048,249.18,
8192,27072,2048,229.159,
8192,27136,2048,225.952,
8192,27200,2048,231.598,
8192,27264,2048,227.732,
8192,27328,2048,231.653,
8192,27392,2048,234.016,
8192,27456,2048,245.52,
8192,27520,2048,239.237,
8192,27584,2048,226.917,
8192,27648,2048,226.435,
8192,27712,2048,229.763,
8192,27776,2048,230.28,
8192,27840,2048,231.759,
8192,27904,2048,216.994,
8192,27968,2048,241.978,
8192,28032,2048,232.927,
8192,28096,2048,230.1,
8192,28160,2048,239.339,
8192,28224,2048,231.225,
8192,28288,2048,236.008,
8192,28352,2048,229.596,
8192,28416,2048,238.366,
8192,28480,2048,228.874,
8192,28544,2048,233.782,
8192,28608,2048,233.404,
8192,28672,2048,231.267,
8192,28736,2048,225.538,
8192,28800,2048,231.277,
8192,28864,2048,219.276,
8192,28928,2048,225.116,
8192,28992,2048,222.762,
8192,29056,2048,237.711,
8192,29120,2048,220.689,
8192,29184,2048,225.439,
8192,29248,2048,238.584,
8192,29312,2048,227.538,
8192,29376,2048,216.926,
8192,29440,2048,226.345,
8192,29504,2048,227.116,
8192,29568,2048,225.876,
8192,29632,2048,216.922,
8192,29696,2048,239.541,
8192,29760,2048,226.107,
8192,29824,2048,236.489,
8192,29888,2048,217.163,
8192,29952,2048,220.616,
8192,30016,2048,221.758,
8192,30080,2048,229.641,
8192,30144,2048,231.355,
8192,30208,2048,232.535,
8192,30272,2048,224.158,
8192,30336,2048,227.443,
8192,30400,2048,221.828,
8192,30464,2048,217.371,
8192,30528,2048,213.374,
8192,30592,2048,242.606,
8192,30656,2048,226.422,
8192,30720,2048,228.379,
8192,30784,2048,207.254,
8192,30848,2048,217.16,
8192,30912,2048,216.459,
8192,30976,2048,224.09,
8192,31040,2048,215.702,
8192,31104,2048,217.963,
8192,31168,2048,212.049,
8192,31232,2048,217.133,
8192,31296,2048,210.752,
8192,31360,2048,212.233,
8192,31424,2048,217.194,
8192,31488,2048,217.282,
8192,31552,2048,214.519,
8192,31616,2048,210.444,
8192,31680,2048,221.859,
8192,31744,2048,227.29,
8192,31808,2048,209.761,
8192,31872,2048,219.473,
8192,31936,2048,215.456,
8192,32000,2048,207.164,
8192,32064,2048,211.983,
8192,32128,2048,213.432,
8192,32192,2048,229.866,
8192,32256,2048,216.041,
8192,32320,2048,206.09,
8192,32384,2048,218.93,
8192,32448,2048,220.703,
8192,32512,2048,217.464,
8192,32576,2048,213.72,
8192,32640,2048,227.02,
8192,32704,2048,217.558,
8192,32768,2048,201.464,
8192,32832,2048,211.561,
8192,32896,2048,218.337,
8192,32960,2048,209.852,
8192,33024,2048,219.931,
8192,33088,2048,217.379,
8192,33152,2048,206.676,
8192,33216,2048,222.393,
8192,33280,2048,215.994,
8192,33344,2048,219.019,
8192,33408,2048,211.497,
8192,33472,2048,207.803,
8192,33536,2048,225.663,
8192,33600,2048,202.19,
8192,33664,2048,210.074,
8192,33728,2048,223.728,
8192,33792,2048,220.402,
8192,33856,2048,216.187,
8192,33920,2048,203.634,
8192,33984,2048,219.703,
8192,34048,2048,218.467,
8192,34112,2048,215.677,
8192,34176,2048,213.367,
8192,34240,2048,217.526,
8192,34304,2048,213.699,
8192,34368,2048,197.533,
8192,34432,2048,203.518,
8192,34496,2048,210.004,
8192,34560,2048,208.602,
8192,34624,2048,203.449,
8192,34688,2048,201.672,
8192,34752,2048,198.481,
8192,34816,2048,189.586,
8192,34880,2048,212.016,
8192,34944,2048,205.773,
8192,35008,2048,209.207,
8192,35072,2048,198.091,
8192,35136,2048,202.787,
8192,35200,2048,208.41,
8192,35264,2048,202.195,
8192,35328,2048,216.265,
8192,35392,2048,203.215,
8192,35456,2048,209.644,
8192,35520,2048,207.149,
8192,35584,2048,205.446,
8192,35648,2048,205.682,
8192,35712,2048,212.521,
8192,35776,2048,197.223,
8192,35840,2048,217.225,
8192,35904,2048,197.506,
8192,35968,2048,195.852,
8192,36032,2048,202.19,
8192,36096,2048,197.539,
8192,36160,2048,201.651,
8192,36224,2048,193.984,
8192,36288,2048,210.752,
8192,36352,2048,202.407,
8192,36416,2048,218.8,
8192,36480,2048,201.26,
8192,36544,2048,208.844,
8192,36608,2048,212.011,
8192,36672,2048,200.315,
8192,36736,2048,207.08,
8192,36800,2048,201.712,
8192,36864,2048,214.308,
8192,36928,2048,198.383,
8192,36992,2048,197.58,
8192,37056,2048,189.285,
8192,37120,2048,196.656,
8192,37184,2048,201.414,
8192,37248,2048,200.881,
8192,37312,2048,197.188,
8192,37376,2048,215.489,
8192,37440,2048,206.169,
8192,37504,2048,194.261,
8192,37568,2048,191.063,
8192,37632,2048,204.118,
8192,37696,2048,196.223,
8192,37760,2048,197.453,
8192,37824,2048,196.63,
8192,37888,2048,205.103,
8192,37952,2048,204.473,
8192,38016,2048,193.595,
8192,38080,2048,193.461,
8192,38144,2048,196.492,
8192,38208,2048,203.443,
8192,38272,2048,193.596,
8192,38336,2048,209.833,
8192,38400,2048,196.469,
8192,38464,2048,188.944,
8192,38528,2048,190.915,
8192,38592,2048,194.6,
8192,38656,2048,190.74,
8192,38720,2048,193.859,
8192,38784,2048,190.945,
8192,38848,2048,197.786,
8192,38912,2048,192.15,
8192,38976,2048,191.614,
8192,39040,2048,191.394,
8192,39104,2048,192.205,
8192,39168,2048,190.658,
8192,39232,2048,188.519,
8192,39296,2048,188.955,
8192,39360,2048,194.831,
8192,39424,2048,196.984,
8192,39488,2048,188.178,
8192,39552,2048,190.216,
8192,39616,2048,211.96,
8192,39680,2048,189.256,
8192,39744,2048,215.763,
8192,39808,2048,201.344,
8192,39872,2048,187.311,
8192,39936,2048,210.294,
8192,40000,2048,194.347,
8192,40064,2048,189.928,
8192,40128,2048,189.041,
8192,40192,2048,191.993,
8192,40256,2048,190.985,
8192,40320,2048,200.867,
8192,40384,2048,194.744,
8192,40448,2048,188.829,
8192,40512,2048,192.276,
8192,40576,2048,183.87,
8192,40640,2048,185.757,
8192,40704,2048,187.69,
8192,40768,2048,183.511,
8192,40832,2048,188.175,
8192,40896,2048,193.413,
8192,40960,2048,181.148,
8192,41024,2048,179.498,
8192,41088,2048,183.351,
8192,41152,2048,192.267,
8192,41216,2048,183.411,
8192,41280,2048,181.987,
8192,41344,2048,187.632,
8192,41408,2048,186.971,
8192,41472,2048,181.623,
8192,41536,2048,184.225,
8192,41600,2048,183.916,
8192,41664,2048,189.088,
8192,41728,2048,183.96,
8192,41792,2048,180.33,
8192,41856,2048,177.968,
8192,41920,2048,211.555,
8192,41984,2048,172.261,
8192,42048,2048,194.114,
8192,42112,2048,166.914,
8192,42176,2048,187.151,
8192,42240,2048,186.171,
8192,42304,2048,182.345,
8192,42368,2048,167.676,
8192,42432,2048,165.987,
8192,42496,2048,166.556,
8192,42560,2048,166.202,
8192,42624,2048,166.978,
8192,42688,2048,166.341,
8192,42752,2048,167.374,
8192,42816,2048,164.902,
8192,42880,2048,166.114,
8192,42944,2048,165.846,
8192,43008,2048,166.495,
8192,43072,2048,165.257,
8192,43136,2048,166.511,
8192,43200,2048,166.146,
8192,43264,2048,165.993,
8192,43328,2048,165.811,
8192,43392,2048,167.641,
8192,43456,2048,167.16,
8192,43520,2048,166.806,
8192,43584,2048,165.268,
8192,43648,2048,166.041,
8192,43712,2048,167.131,
8192,43776,2048,166.392,
8192,43840,2048,166.11,
8192,43904,2048,165.597,
8192,43968,2048,165.832,
8192,44032,2048,165.906,
8192,44096,2048,165.52,
8192,44160,2048,171.19,
8192,44224,2048,165.258,
8192,44288,2048,167.989,
8192,44352,2048,165.534,
8192,44416,2048,166.054,
8192,44480,2048,168.809,
8192,44544,2048,165.782,
8192,44608,2048,165.565,
8192,44672,2048,165.806,
8192,44736,2048,166.219,
8192,44800,2048,166.896,
8192,44864,2048,166.096,
8192,44928,2048,165.736,
8192,44992,2048,165.499,
8192,45056,2048,166.09,
8192,45120,2048,165.595,
8192,45184,2048,165.673,
8192,45248,2048,167.15,
8192,45312,2048,165.652,
8192,45376,2048,165.599,
8192,45440,2048,166.017,
8192,45504,2048,165.516,
8192,45568,2048,166.376,
8192,45632,2048,165.911,
8192,45696,2048,166.484,
8192,45760,2048,165.166,
8192,45824,2048,165.594,
8192,45888,2048,165.56,
8192,45952,2048,166.758,
8192,46016,2048,166.342,
8192,46080,2048,165.071,
8192,46144,2048,165.459,
8192,46208,2048,167.395,
8192,46272,2048,165.278,
8192,46336,2048,165.755,
8192,46400,2048,164.931,
8192,46464,2048,166.132,
8192,46528,2048,163.536,
8192,46592,2048,165.809,
8192,46656,2048,164.373,
8192,46720,2048,166.072,
8192,46784,2048,164.95,
8192,46848,2048,166.062,
8192,46912,2048,164.702,
8192,46976,2048,165.871,
8192,47040,2048,164.541,
8192,47104,2048,164.577,
8192,47168,2048,164.26,
8192,47232,2048,163.984,
8192,47296,2048,165.636,
8192,47360,2048,164.39,
8192,47424,2048,163.981,
8192,47488,2048,162.986,
8192,47552,2048,164.932,
8192,47616,2048,164.692,
8192,47680,2048,164.749,
8192,47744,2048,163.248,
8192,47808,2048,164.102,
8192,47872,2048,167.307,
8192,47936,2048,162.676,
8192,48000,2048,165.618,
8192,48064,2048,166.991,
8192,48128,2048,163.582,
8192,48192,2048,164.431,
8192,48256,2048,163.802,
8192,48320,2048,166.755,
8192,48384,2048,164.015,
8192,48448,2048,166.172,
8192,48512,2048,165.297,
8192,48576,2048,164.758,
8192,48640,2048,165.841,
8192,48704,2048,163.241,
8192,48768,2048,164.397,
8192,48832,2048,166.08,
8192,48896,2048,166.942,
8192,48960,2048,167.047,
8192,49024,2048,164.732,
8192,49088,2048,164.272,
8192,49152,2048,164.912,
8192,49216,2048,164.822,
8192,49280,2048,164.08,
8192,49344,2048,166.725,
8192,49408,2048,163.477,
8192,49472,2048,162.139,
8192,49536,2048,166.133,
8192,49600,2048,165.763,
8192,49664,2048,164.86,
8192,49728,2048,163.03,
8192,49792,2048,163.985,
8192,49856,2048,165.719,
8192,49920,2048,166.025,
8192,49984,2048,163.917,
8192,50048,2048,165.363,
8192,50112,2048,163.266,
8192,50176,2048,163.561,
8192,50240,2048,162.262,
8192,50304,2048,164.986,
8192,50368,2048,164.436,
8192,50432,2048,166.704,
8192,50496,2048,164.094,
8192,50560,2048,164.923,
8192,50624,2048,164.959,
8192,50688,2048,163.893,
8192,50752,2048,163.6,
8192,50816,2048,162.553,
8192,50880,2048,165.202,
8192,50944,2048,165.89,
8192,51008,2048,165.573,
8192,51072,2048,164.777,
8192,51136,2048,164.7,
8192,51200,2048,165.393,
8192,51264,2048,165.086,
8192,51328,2048,164.265,
8192,51392,2048,163.087,
8192,51456,2048,163.307,
8192,51520,2048,164.33,
8192,51584,2048,163.586,
8192,51648,2048,164.55,
8192,51712,2048,164.076,
8192,51776,2048,165.359,
8192,51840,2048,164.998,
8192,51904,2048,163.264,
8192,51968,2048,163.054,
8192,52032,2048,163.053,
8192,52096,2048,164.485,
8192,52160,2048,165.365,
8192,52224,2048,163.037,
8192,52288,2048,165.29,
8192,52352,2048,164.981,
8192,52416,2048,162.423,
8192,52480,2048,162.823,
8192,52544,2048,164.0,
8192,52608,2048,164.828,
8192,52672,2048,162.923,
8192,52736,2048,164.908,
8192,52800,2048,165.03,
8192,52864,2048,163.426,
8192,52928,2048,162.781,
8192,52992,2048,163.391,
8192,53056,2048,164.429,
8192,53120,2048,163.785,
8192,53184,2048,163.141,
8192,53248,2048,164.859,
8192,53312,2048,164.766,
8192,53376,2048,165.032,
8192,53440,2048,162.695,
8192,53504,2048,162.814,
8192,53568,2048,163.93,
8192,53632,2048,163.791,
8192,53696,2048,163.92,
8192,53760,2048,161.657,
8192,53824,2048,162.923,
8192,53888,2048,163.079,
8192,53952,2048,162.217,
8192,54016,2048,165.303,
8192,54080,2048,163.402,
8192,54144,2048,162.744,
8192,54208,2048,163.96,
8192,54272,2048,164.457,
8192,54336,2048,163.542,
8192,54400,2048,164.542,
8192,54464,2048,164.983,
8192,54528,2048,163.109,
8192,54592,2048,162.985,
8192,54656,2048,163.503,
8192,54720,2048,163.59,
8192,54784,2048,163.48,
8192,54848,2048,162.542,
8192,54912,2048,163.417,
8192,54976,2048,164.129,
8192,55040,2048,162.953,
8192,55104,2048,163.902,
8192,55168,2048,164.146,
8192,55232,2048,164.259,
8192,55296,2048,163.639,
8192,55360,2048,162.28,
8192,55424,2048,163.444,
8192,55488,2048,162.129,
8192,55552,2048,163.216,
8192,55616,2048,162.992,
8192,55680,2048,162.787,
8192,55744,2048,165.592,
8192,55808,2048,164.617,
8192,55872,2048,165.794,
8192,55936,2048,163.314,
8192,56000,2048,161.358,
8192,56064,2048,161.936,
8192,56128,2048,162.84,
8192,56192,2048,163.626,
8192,56256,2048,163.622,
8192,56320,2048,164.109,
8192,56384,2048,163.668,
8192,56448,2048,161.848,
8192,56512,2048,162.979,
8192,56576,2048,164.816,
8192,56640,2048,162.161,
8192,56704,2048,164.662,
8192,56768,2048,162.736,
8192,56832,2048,164.354,
8192,56896,2048,162.844,
8192,56960,2048,162.001,
8192,57024,2048,164.959,
8192,57088,2048,162.833,
8192,57152,2048,162.405,
8192,57216,2048,163.152,
8192,57280,2048,162.314,
8192,57344,2048,162.298,
8192,57408,2048,163.847,
8192,57472,2048,163.778,
8192,57536,2048,163.808,
8192,57600,2048,165.405,
8192,57664,2048,163.561,
8192,57728,2048,162.908,
8192,57792,2048,161.786,
8192,57856,2048,162.73,
8192,57920,2048,163.881,
8192,57984,2048,163.427,
8192,58048,2048,162.933,
8192,58112,2048,163.635,
8192,58176,2048,163.856,
8192,58240,2048,162.237,
8192,58304,2048,163.015,
8192,58368,2048,164.94,
8192,58432,2048,162.356,
8192,58496,2048,162.956,
8192,58560,2048,163.56,
8192,58624,2048,162.917,
8192,58688,2048,162.905,
8192,58752,2048,161.52,
8192,58816,2048,162.683,
8192,58880,2048,162.206,
8192,58944,2048,163.456,
8192,59008,2048,162.058,
8192,59072,2048,163.6,
8192,59136,2048,162.665,
8192,59200,2048,162.996,
8192,59264,2048,161.956,
8192,59328,2048,163.956,
8192,59392,2048,164.46,
8192,59456,2048,163.661,
8192,59520,2048,162.818,
8192,59584,2048,162.3,
8192,59648,2048,161.715,
8192,59712,2048,161.302,
8192,59776,2048,162.375,
8192,59840,2048,163.703,
8192,59904,2048,161.947,
8192,59968,2048,161.244,
8192,60032,2048,163.175,
8192,60096,2048,162.384,
8192,60160,2048,161.354,
8192,60224,2048,161.626,
8192,60288,2048,162.715,
8192,60352,2048,162.412,
8192,60416,2048,163.242,
8192,60480,2048,160.671,
8192,60544,2048,163.14,
8192,60608,2048,164.656,
8192,60672,2048,161.939,
8192,60736,2048,160.944,
8192,60800,2048,160.211,
8192,60864,2048,162.15,
8192,60928,2048,161.887,
8192,60992,2048,161.271,
8192,61056,2048,162.927,
8192,61120,2048,163.875,
8192,61184,2048,162.862,
8192,61248,2048,163.205,
8192,61312,2048,162.867,
8192,61376,2048,160.168,
8192,61440,2048,159.879,
8192,61504,2048,160.621,
8192,61568,2048,163.383,
8192,61632,2048,161.482,
8192,61696,2048,163.825,
8192,61760,2048,161.464,
8192,61824,2048,162.805,
8192,61888,2048,163.514,
8192,61952,2048,162.055,
8192,62016,2048,163.215,
8192,62080,2048,163.461,
8192,62144,2048,162.908,
8192,62208,2048,161.117,
8192,62272,2048,163.728,
8192,62336,2048,162.506,
8192,62400,2048,162.235,
8192,62464,2048,161.685,
8192,62528,2048,162.872,
8192,62592,2048,162.217,
8192,62656,2048,163.897,
8192,62720,2048,162.482,
8192,62784,2048,163.148,
8192,62848,2048,161.527,
8192,62912,2048,161.181,
8192,62976,2048,163.425,
8192,63040,2048,163.403,
8192,63104,2048,164.124,
8192,63168,2048,163.078,
8192,63232,2048,162.3,
8192,63296,2048,163.026,
8192,63360,2048,163.176,
8192,63424,2048,163.331,
8192,63488,2048,163.468,
8192,63552,2048,162.104,
8192,63616,2048,161.919,
8192,63680,2048,162.843,
8192,63744,2048,161.94,
8192,63808,2048,162.306,
8192,63872,2048,161.202,
